,Charlottesville High School,Nelson County High School,Fluvanna County High School,Louisa County High School,Orange County High School,William Monroe High School,T.C. Williams High School,Tunstall High School,George Washington High School,Magna Vista High School,Martinsville High School,Buckingham County High School,Patrick County High School,Armstrong High School,Huguenot High School,Washington and Lee High School ,Bassett High School,Dan River High School,Rappahannock High School,Chatham High School (Virginia),Lancaster High School (UVA),Northumberland High School,Gretna High School,National Avg,National Total
Student Totals: Graduated Seniors,254,171,255,375,351,204,838,256,305,254,144,113,179,181,283,103,259,183,75,139,92,104,107,235.86,170527
Specific Interactions: 1-on-1s: Total,767,889,381,2075,598,522,183,205,1137,370,464,1125,201,1694,730,467,894,95,486,326,385,382,334,834.58,603402
Specific Interactions: Group: Total,334,273,477,344,281,543,884,275,576,90,6951,343,66,307,339,253,681,249,258,156,336,123,105,589.7,426350
Specific Interactions: 1-on-1s: At least one,222,133,174,295,228,190,91,102,213,151,124,113,114,179,211,88,238,57,69,137,81,98,97,181.91,131524
Specific Interactions: Group: At least one,171,169,168,155,155,185,546,187,242,76,142,108,58,63,196,86,237,152,69,122,84,77,77,163.06,117895
Specific Interactions: Parent Meetings,49,31,38,204,43,127,247,0,133,9,123,49,12,1,141,31,89,3,44,5,72,36,2,76.08,55006
Specific Interactions: Parent Meetings: At least one,40,21,26,99,40,74,223,0,82,7,71,24,11,1,93,19,74,3,25,3,30,26,2,49.95,36111
Total Interactions: Met with 1+ Times (Group and 1:1),222,169,210,305,262,198,561,209,263,174,143,113,130,179,229,93,249,153,72,137,88,98,100,205.96,148906
Total Interactions: Met with 3+ Times (Group and 1:1),172,123,137,210,142,175,108,74,210,76,136,105,27,83,135,83,225,49,64,95,79,72,59,143.59,103817
Total Interactions: Met with 5+ Times (Group and 1:1),92,88,57,165,68,102,18,18,138,24,118,81,8,83,86,62,158,6,60,28,67,41,39,94.48,68309
Total Interactions: Met with 10+ Times (Group and 1:1),20,36,19,95,9,14,4,1,47,0,99,48,0,77,22,27,38,0,31,3,28,12,6,37.83,27354
College Awareness: Campus Visits,61,43,33,30,34,0,0,0,0,15,21,19,16,25,116,15,24,0,3,0,21,29,0,61.71,44618
