student_totals_seniors,specific_interactions_1-on-1s_total,specific_interactions_group_total,specific_interactions_1-on-1s_at_least_one,specific_interactions_group_at_least_one,specific_interactions_parent_meetings,specific_interactions_parent_meetings_at_least_one,total_interactions_met_with_1_plus_times_(group_and_1_1),total_interactions_met_with_3_plus_times_(group_and_1_1),total_interactions_met_with_5_plus_times_(group_and_1_1),total_interactions_met_with_10_plus_times_(group_and_1_1),college_awareness_campus_visits,college_awareness_campus_visits_at_least_one,college_awareness_college_fair,college_awareness_college_fairs_at_least_one,college_awareness_college_rep_visits,college_awareness_college_rep_visits_at_least_one,act_sats_completed,act_sats_registered_for_sat_or_act,act_sats_registered_for_sat,act_sats_registered_for_act,act_sats_assisted_registration_with_sat_or_act,act_sats_assisted_registration_with_sat,act_sats_assisted_registration_with_act,act_sats_waiver,act_sats_assisted_waiver,act_sats_sat_act_prep_meetings,act_sats_sat_act_prep_meetings_at_least_one,college_apps_submitted_1_plus_apps,college_apps_submitted_3_plus_apps,college_apps_submitted_5_plus_apps,college_apps_submitted_total_#_submitted,college_apps_accepted_1_plus_apps,college_apps_accepted_3_plus_apps,college_apps_accepted_5_plus_apps,college_apps_accepted_total_#_accepted,college_waivers_students_w_1_plus,college_waivers_total_#_waivers,college_waivers_total_waiver_dollars,institutional_aid_students_w_1_plus,institutional_aid_total_dollars,institutional_aid_students_w_1_plus_award_letter_reviews,institutional_aid_total_award_letter_meetings,fafsa_submitted,scholarships_students_w_1_plus,scholarships_total_dollars,year_starting,vdoe_total,enrolled,total_female,enrolled_female,total_male,enrolled_male,total_black,enrolled_black,total_white,enrolled_white,econ_total,econ_enrolled,school_name,specific_interactions_1-on-1s_total_rate,specific_interactions_group_total_rate,specific_interactions_1-on-1s_at_least_one_rate,specific_interactions_group_at_least_one_rate,specific_interactions_parent_meetings_rate,specific_interactions_parent_meetings_at_least_one_rate,total_interactions_met_with_1_plus_times_(group_and_1_1)_rate,total_interactions_met_with_3_plus_times_(group_and_1_1)_rate,total_interactions_met_with_5_plus_times_(group_and_1_1)_rate,total_interactions_met_with_10_plus_times_(group_and_1_1)_rate,college_awareness_campus_visits_rate,college_awareness_campus_visits_at_least_one_rate,college_awareness_college_fair_rate,college_awareness_college_fairs_at_least_one_rate,college_awareness_college_rep_visits_rate,college_awareness_college_rep_visits_at_least_one_rate,act_sats_completed_rate,act_sats_registered_for_sat_or_act_rate,act_sats_registered_for_sat_rate,act_sats_registered_for_act_rate,act_sats_assisted_registration_with_sat_or_act_rate,act_sats_assisted_registration_with_sat_rate,act_sats_assisted_registration_with_act_rate,act_sats_waiver_rate,act_sats_assisted_waiver_rate,act_sats_sat_act_prep_meetings_rate,act_sats_sat_act_prep_meetings_at_least_one_rate,college_apps_submitted_1_plus_apps_rate,college_apps_submitted_3_plus_apps_rate,college_apps_submitted_5_plus_apps_rate,college_apps_submitted_total_#_submitted_rate,college_apps_accepted_1_plus_apps_rate,college_apps_accepted_3_plus_apps_rate,college_apps_accepted_5_plus_apps_rate,college_apps_accepted_total_#_accepted_rate,college_waivers_students_w_1_plus_rate,college_waivers_total_#_waivers_rate,college_waivers_total_waiver_dollars_rate,institutional_aid_students_w_1_plus_rate,institutional_aid_total_dollars_rate,institutional_aid_students_w_1_plus_award_letter_reviews_rate,institutional_aid_total_award_letter_meetings_rate,fafsa_submitted_rate,scholarships_students_w_1_plus_rate,scholarships_total_dollars_rate,vdoe_total_rate,enrolled_rate,total_female_rate,enrolled_female_rate,total_male_rate,enrolled_male_rate,total_black_rate,enrolled_black_rate,total_white_rate,enrolled_white_rate,econ_total_rate,econ_enrolled_rate
148.0,724.0,644.0,126.0,143.0,55.0,37.0,145.0,138.0,113.0,54.0,0.0,0.0,88.0,87.0,15.0,13.0,68.0,77.0,75.0,27.0,62.0,61.0,14.0,26.0,26.0,32.0,15.0,97.0,41.0,13.0,242.0,94.0,21.0,5.0,173.0,3.0,6.0,290.0,33.0,2453882.0,21.0,27.0,54.0,37.0,267375.0,2015.0,112.0,71.0,51.0,32.0,61.0,39.0,18.0,9.0,83.0,53.0,44.0,25.0,Nelson County High School,4.891891891891892,4.351351351351352,0.8513513513513513,0.9662162162162162,0.3716216216216216,0.25,0.9797297297297297,0.9324324324324325,0.7635135135135135,0.36486486486486486,0.0,0.0,0.5945945945945946,0.5878378378378378,0.10135135135135136,0.08783783783783784,0.4594594594594595,0.5202702702702703,0.5067567567567568,0.18243243243243243,0.4189189189189189,0.41216216216216217,0.0945945945945946,0.17567567567567569,0.17567567567567569,0.21621621621621623,0.10135135135135136,0.6554054054054054,0.27702702702702703,0.08783783783783784,1.635135135135135,0.6351351351351351,0.14189189189189189,0.033783783783783786,1.1689189189189189,0.02027027027027027,0.04054054054054054,1.9594594594594594,0.22297297297297297,16580.283783783783,0.14189189189189189,0.18243243243243243,0.36486486486486486,0.25,1806.587837837838,1.0,0.6339285714285714,0.45535714285714285,0.2857142857142857,0.5446428571428571,0.3482142857142857,0.16071428571428573,0.08035714285714286,0.7410714285714286,0.4732142857142857,0.39285714285714285,0.22321428571428573
247.0,837.0,726.0,234.0,231.0,183.0,97.0,235.0,226.0,137.0,42.0,37.0,37.0,33.0,33.0,149.0,72.0,108.0,94.0,84.0,36.0,83.0,73.0,34.0,61.0,60.0,25.0,14.0,198.0,49.0,22.0,418.0,180.0,31.0,8.0,296.0,36.0,59.0,2775.0,23.0,1586070.0,5.0,11.0,136.0,35.0,110000.0,2015.0,171.0,115.0,94.0,68.0,77.0,47.0,54.0,41.0,94.0,63.0,89.0,58.0,Magna Vista High School,3.388663967611336,2.9392712550607287,0.9473684210526315,0.9352226720647774,0.7408906882591093,0.39271255060728744,0.951417004048583,0.9149797570850202,0.5546558704453441,0.1700404858299595,0.14979757085020243,0.14979757085020243,0.13360323886639677,0.13360323886639677,0.6032388663967612,0.291497975708502,0.43724696356275305,0.3805668016194332,0.340080971659919,0.145748987854251,0.3360323886639676,0.29554655870445345,0.13765182186234817,0.24696356275303644,0.242914979757085,0.10121457489878542,0.05668016194331984,0.8016194331983806,0.19838056680161945,0.08906882591093117,1.6923076923076923,0.728744939271255,0.12550607287449392,0.032388663967611336,1.1983805668016194,0.145748987854251,0.2388663967611336,11.234817813765183,0.0931174089068826,6421.336032388664,0.020242914979757085,0.044534412955465584,0.5506072874493927,0.1417004048582996,445.34412955465586,1.0,0.672514619883041,0.5497076023391813,0.39766081871345027,0.4502923976608187,0.27485380116959063,0.3157894736842105,0.23976608187134502,0.5497076023391813,0.3684210526315789,0.52046783625731,0.3391812865497076
136.0,1679.0,799.0,128.0,129.0,179.0,64.0,132.0,124.0,118.0,85.0,0.0,0.0,0.0,0.0,84.0,40.0,67.0,69.0,63.0,15.0,30.0,24.0,12.0,33.0,23.0,0.0,0.0,102.0,46.0,15.0,281.0,94.0,26.0,7.0,196.0,54.0,130.0,70055.0,35.0,1685830.0,32.0,52.0,67.0,29.0,215700.0,2015.0,134.0,80.0,70.0,50.0,64.0,30.0,41.0,18.0,81.0,57.0,75.0,39.0,Buckingham County High School,12.345588235294118,5.875,0.9411764705882353,0.9485294117647058,1.3161764705882353,0.47058823529411764,0.9705882352941176,0.9117647058823529,0.8676470588235294,0.625,0.0,0.0,0.0,0.0,0.6176470588235294,0.29411764705882354,0.49264705882352944,0.5073529411764706,0.4632352941176471,0.11029411764705882,0.22058823529411764,0.17647058823529413,0.08823529411764706,0.2426470588235294,0.16911764705882354,0.0,0.0,0.75,0.3382352941176471,0.11029411764705882,2.0661764705882355,0.6911764705882353,0.19117647058823528,0.051470588235294115,1.4411764705882353,0.39705882352941174,0.9558823529411765,515.1102941176471,0.25735294117647056,12395.808823529413,0.23529411764705882,0.38235294117647056,0.49264705882352944,0.21323529411764705,1586.0294117647059,1.0,0.5970149253731343,0.5223880597014925,0.373134328358209,0.47761194029850745,0.22388059701492538,0.30597014925373134,0.13432835820895522,0.6044776119402985,0.4253731343283582,0.5597014925373134,0.291044776119403
676.0,298.0,150.0,142.0,128.0,116.0,99.0,218.0,45.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,0.0,0.0,476.0,285.0,207.0,2045.0,447.0,198.0,94.0,1243.0,0.0,0.0,0.0,71.0,4463572.0,11.0,15.0,267.0,161.0,1637481.0,2015.0,621.0,483.0,334.0,281.0,287.0,202.0,219.0,168.0,165.0,148.0,350.0,253.0,Alexandria City High School,0.4408284023668639,0.22189349112426035,0.21005917159763313,0.1893491124260355,0.17159763313609466,0.14644970414201183,0.3224852071005917,0.06656804733727811,0.013313609467455622,0.0029585798816568047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004437869822485207,0.0029585798816568047,0.0014792899408284023,0.004437869822485207,0.0029585798816568047,0.0014792899408284023,0.004437869822485207,0.0029585798816568047,0.0,0.0,0.7041420118343196,0.42159763313609466,0.3062130177514793,3.025147928994083,0.6612426035502958,0.29289940828402367,0.1390532544378698,1.8387573964497042,0.0,0.0,0.0,0.10502958579881656,6602.917159763314,0.016272189349112426,0.022189349112426034,0.39497041420118345,0.23816568047337278,2422.309171597633,1.0,0.7777777777777778,0.537842190016103,0.4524959742351047,0.46215780998389694,0.3252818035426731,0.3526570048309179,0.27053140096618356,0.26570048309178745,0.23832528180354268,0.5636070853462157,0.4074074074074074
96.0,488.0,158.0,81.0,77.0,13.0,12.0,85.0,73.0,61.0,27.0,2.0,2.0,93.0,93.0,51.0,30.0,38.0,41.0,40.0,17.0,9.0,8.0,2.0,8.0,8.0,0.0,0.0,74.0,26.0,10.0,176.0,73.0,17.0,5.0,132.0,0.0,0.0,0.0,29.0,1079564.0,3.0,5.0,50.0,19.0,64200.0,2015.0,99.0,63.0,48.0,36.0,51.0,27.0,35.0,21.0,57.0,39.0,43.0,20.0,Northumberland High School,5.083333333333333,1.6458333333333333,0.84375,0.8020833333333334,0.13541666666666666,0.125,0.8854166666666666,0.7604166666666666,0.6354166666666666,0.28125,0.020833333333333332,0.020833333333333332,0.96875,0.96875,0.53125,0.3125,0.3958333333333333,0.4270833333333333,0.4166666666666667,0.17708333333333334,0.09375,0.08333333333333333,0.020833333333333332,0.08333333333333333,0.08333333333333333,0.0,0.0,0.7708333333333334,0.2708333333333333,0.10416666666666667,1.8333333333333333,0.7604166666666666,0.17708333333333334,0.052083333333333336,1.375,0.0,0.0,0.0,0.3020833333333333,11245.458333333334,0.03125,0.052083333333333336,0.5208333333333334,0.19791666666666666,668.75,1.0,0.6363636363636364,0.48484848484848486,0.36363636363636365,0.5151515151515151,0.2727272727272727,0.35353535353535354,0.21212121212121213,0.5757575757575758,0.3939393939393939,0.43434343434343436,0.20202020202020202
356.0,1577.0,619.0,256.0,308.0,269.0,110.0,336.0,220.0,150.0,62.0,0.0,0.0,0.0,0.0,195.0,121.0,174.0,172.0,170.0,62.0,45.0,42.0,19.0,69.0,62.0,0.0,0.0,220.0,96.0,41.0,654.0,203.0,69.0,21.0,464.0,59.0,255.0,12610.0,46.0,2280230.0,56.0,75.0,164.0,62.0,212848.0,2015.0,291.0,170.0,152.0,102.0,139.0,68.0,51.0,29.0,213.0,125.0,105.0,46.0,Louisa County High School,4.429775280898877,1.7387640449438202,0.7191011235955056,0.8651685393258427,0.7556179775280899,0.3089887640449438,0.9438202247191011,0.6179775280898876,0.42134831460674155,0.17415730337078653,0.0,0.0,0.0,0.0,0.547752808988764,0.3398876404494382,0.4887640449438202,0.48314606741573035,0.47752808988764045,0.17415730337078653,0.12640449438202248,0.11797752808988764,0.05337078651685393,0.19382022471910113,0.17415730337078653,0.0,0.0,0.6179775280898876,0.2696629213483146,0.1151685393258427,1.8370786516853932,0.5702247191011236,0.19382022471910113,0.05898876404494382,1.303370786516854,0.16573033707865167,0.7162921348314607,35.42134831460674,0.12921348314606743,6405.140449438202,0.15730337078651685,0.21067415730337077,0.4606741573033708,0.17415730337078653,597.8876404494382,1.0,0.584192439862543,0.5223367697594502,0.35051546391752575,0.47766323024054985,0.23367697594501718,0.17525773195876287,0.09965635738831616,0.7319587628865979,0.42955326460481097,0.36082474226804123,0.15807560137457044
267.0,1606.0,1196.0,267.0,253.0,163.0,91.0,267.0,250.0,210.0,103.0,54.0,48.0,12.0,12.0,193.0,71.0,125.0,134.0,131.0,24.0,25.0,25.0,0.0,15.0,11.0,8.0,8.0,219.0,73.0,43.0,594.0,217.0,64.0,28.0,498.0,8.0,40.0,2575.0,24.0,901764.0,51.0,76.0,158.0,46.0,433385.0,2015.0,273.0,178.0,148.0,109.0,125.0,69.0,34.0,19.0,208.0,141.0,56.0,24.0,Fluvanna County High School,6.01498127340824,4.479400749063671,1.0,0.947565543071161,0.6104868913857678,0.3408239700374532,1.0,0.9363295880149812,0.7865168539325843,0.3857677902621723,0.20224719101123595,0.1797752808988764,0.0449438202247191,0.0449438202247191,0.7228464419475655,0.26591760299625467,0.4681647940074906,0.50187265917603,0.49063670411985016,0.0898876404494382,0.09363295880149813,0.09363295880149813,0.0,0.056179775280898875,0.04119850187265917,0.0299625468164794,0.0299625468164794,0.8202247191011236,0.27340823970037453,0.16104868913857678,2.2247191011235956,0.8127340823970037,0.2397003745318352,0.10486891385767791,1.8651685393258426,0.0299625468164794,0.149812734082397,9.644194756554308,0.0898876404494382,3377.3932584269664,0.19101123595505617,0.2846441947565543,0.5917602996254682,0.17228464419475656,1623.1647940074906,1.0,0.652014652014652,0.5421245421245421,0.3992673992673993,0.45787545787545786,0.25274725274725274,0.12454212454212454,0.0695970695970696,0.7619047619047619,0.5164835164835165,0.20512820512820512,0.08791208791208792
141.0,200.0,345.0,121.0,131.0,34.0,32.0,134.0,108.0,50.0,2.0,11.0,11.0,5.0,5.0,88.0,33.0,60.0,64.0,62.0,33.0,43.0,41.0,24.0,45.0,42.0,9.0,7.0,103.0,31.0,12.0,242.0,99.0,24.0,9.0,205.0,5.0,5.0,170.0,13.0,967940.0,6.0,6.0,71.0,17.0,8600.0,2015.0,134.0,80.0,70.0,44.0,64.0,36.0,38.0,19.0,93.0,58.0,62.0,28.0,Gretna High School,1.4184397163120568,2.4468085106382977,0.8581560283687943,0.9290780141843972,0.24113475177304963,0.22695035460992907,0.950354609929078,0.7659574468085106,0.3546099290780142,0.014184397163120567,0.07801418439716312,0.07801418439716312,0.03546099290780142,0.03546099290780142,0.624113475177305,0.23404255319148937,0.425531914893617,0.45390070921985815,0.4397163120567376,0.23404255319148937,0.3049645390070922,0.2907801418439716,0.1702127659574468,0.3191489361702128,0.2978723404255319,0.06382978723404255,0.04964539007092199,0.7304964539007093,0.2198581560283688,0.0851063829787234,1.7163120567375887,0.7021276595744681,0.1702127659574468,0.06382978723404255,1.4539007092198581,0.03546099290780142,0.03546099290780142,1.2056737588652482,0.09219858156028368,6864.822695035461,0.0425531914893617,0.0425531914893617,0.5035460992907801,0.12056737588652482,60.99290780141844,1.0,0.5970149253731343,0.5223880597014925,0.3283582089552239,0.47761194029850745,0.26865671641791045,0.2835820895522388,0.1417910447761194,0.6940298507462687,0.43283582089552236,0.4626865671641791,0.208955223880597
263.0,801.0,638.0,261.0,246.0,262.0,136.0,261.0,233.0,161.0,9.0,49.0,49.0,83.0,83.0,54.0,43.0,130.0,132.0,117.0,70.0,112.0,98.0,51.0,78.0,75.0,0.0,0.0,215.0,66.0,23.0,492.0,210.0,55.0,13.0,435.0,51.0,85.0,4430.0,32.0,2264041.0,6.0,6.0,161.0,58.0,1655115.0,2015.0,243.0,161.0,118.0,84.0,125.0,77.0,42.0,30.0,175.0,116.0,141.0,87.0,Bassett High School,3.0456273764258555,2.425855513307985,0.9923954372623575,0.935361216730038,0.9961977186311787,0.5171102661596958,0.9923954372623575,0.8859315589353612,0.6121673003802282,0.034220532319391636,0.18631178707224336,0.18631178707224336,0.3155893536121673,0.3155893536121673,0.20532319391634982,0.1634980988593156,0.49429657794676807,0.5019011406844106,0.4448669201520912,0.2661596958174905,0.42585551330798477,0.3726235741444867,0.19391634980988592,0.2965779467680608,0.28517110266159695,0.0,0.0,0.8174904942965779,0.2509505703422053,0.08745247148288973,1.870722433460076,0.7984790874524715,0.20912547528517111,0.049429657794676805,1.6539923954372624,0.19391634980988592,0.3231939163498099,16.844106463878326,0.12167300380228137,8608.520912547528,0.022813688212927757,0.022813688212927757,0.6121673003802282,0.22053231939163498,6293.212927756654,1.0,0.6625514403292181,0.48559670781893005,0.345679012345679,0.51440329218107,0.3168724279835391,0.1728395061728395,0.12345679012345678,0.720164609053498,0.4773662551440329,0.5802469135802469,0.35802469135802467
138.0,307.0,465.0,126.0,123.0,50.0,38.0,128.0,123.0,100.0,11.0,0.0,0.0,0.0,0.0,41.0,25.0,57.0,68.0,62.0,40.0,30.0,26.0,20.0,21.0,21.0,92.0,32.0,105.0,30.0,13.0,261.0,101.0,20.0,8.0,211.0,0.0,0.0,0.0,26.0,3018310.0,0.0,0.0,74.0,16.0,37830.0,2015.0,148.0,104.0,78.0,62.0,70.0,42.0,56.0,37.0,89.0,65.0,81.0,48.0,Dan River High School,2.2246376811594204,3.369565217391304,0.9130434782608695,0.8913043478260869,0.36231884057971014,0.2753623188405797,0.927536231884058,0.8913043478260869,0.7246376811594203,0.07971014492753623,0.0,0.0,0.0,0.0,0.2971014492753623,0.18115942028985507,0.41304347826086957,0.4927536231884058,0.4492753623188406,0.2898550724637681,0.21739130434782608,0.18840579710144928,0.14492753623188406,0.15217391304347827,0.15217391304347827,0.6666666666666666,0.2318840579710145,0.7608695652173914,0.21739130434782608,0.09420289855072464,1.891304347826087,0.7318840579710145,0.14492753623188406,0.057971014492753624,1.5289855072463767,0.0,0.0,0.0,0.18840579710144928,21871.8115942029,0.0,0.0,0.5362318840579711,0.11594202898550725,274.1304347826087,1.0,0.7027027027027027,0.527027027027027,0.4189189189189189,0.47297297297297297,0.28378378378378377,0.3783783783783784,0.25,0.6013513513513513,0.4391891891891892,0.5472972972972973,0.32432432432432434
